"","UF","SG_UF","SG_UE","cd_mun_ibge","nm_mun_ibge","cd_mun_tse","nm_mun_tse"
"1","11","RO","BR","1100015","ALTA FLORESTA D OESTE",310,"Alta Floresta D'Oeste"
"2","11","RO","BR","1100379","ALTO ALEGRE DOS PARECIS",736,"Alto Alegre dos Parecis"
"3","11","RO","BR","1100403","ALTO PARAÍSO",639,"Alto Paraíso"
"4","11","RO","BR","1100346","ALVORADA DO OESTE",337,"Alvorada D'Oeste"
"5","11","RO","BR","1100023","ARIQUEMES",78,"Ariquemes"
"6","11","RO","BR","1100452","BURITIS",779,"Buritis"
"7","11","RO","BR","1100031","CABIXI",450,"Cabixi"
"8","11","RO","BR","1100601","CACAULÂNDIA",620,"Cacaulândia"
"9","11","RO","BR","1100049","CACOAL",94,"Cacoal"
"10","11","RO","BR","1100700","CAMPO NOVO DE RONDÔNIA",671,"Campo Novo de Rondônia"
"11","11","RO","BR","1100809","CANDEIAS DO JAMARI",477,"Candeias do Jamari"
"12","11","RO","BR","1100908","CASTANHEIRAS",531,"Castanheiras"
"13","11","RO","BR","1100056","CEREJEIRAS",272,"Cerejeiras"
"14","11","RO","BR","1100924","CHUPINGUAIA",809,"Chupinguaia"
"15","11","RO","BR","1100064","COLORADO DO OESTE",230,"Colorado do Oeste"
"16","11","RO","BR","1100072","CORUMBIARA",655,"Corumbiara"
"17","11","RO","BR","1100080","COSTA MARQUES",213,"Costa Marques"
"18","11","RO","BR","1100940","CUJUBIM",680,"Cujubim"
"19","11","RO","BR","1100098","ESPIGÃO DO OESTE",256,"Espigão D'Oeste"
"20","11","RO","BR","1101005","GOVERNADOR JORGE TEIXEIRA",612,"Governador Jorge Teixeira"
"21","11","RO","BR","1100106","GUAJARÁ-MIRIM",19,"Guajará-Mirim"
"22","11","RO","BR","1101104","ITAPUÃ DO OESTE",493,"Itapuã do Oeste"
"23","11","RO","BR","1100114","JARU",159,"Jaru"
"24","11","RO","BR","1100122","JI-PARANÁ",51,"Ji-Paraná"
"25","11","RO","BR","1100130","MACHADINHO D OESTE",396,"Machadinho D'Oeste"
"26","11","RO","BR","1101203","MINISTRO ANDREAZZA",604,"Ministro Andreazza"
"27","11","RO","BR","1101302","MIRANTE DA SERRA",574,"Mirante da Serra"
"28","11","RO","BR","1101401","MONTE NEGRO",663,"Monte Negro"
"29","11","RO","BR","1100148","NOVA BRASILÂNDIA D OESTE",370,"Nova Brasilândia D'Oeste"
"30","11","RO","BR","1100338","NOVA MAMORÉ",434,"Nova Mamoré"
"31","11","RO","BR","1101435","NOVA UNIÃO",744,"Nova União"
"32","11","RO","BR","1100502","NOVO HORIZONTE DO OESTE",515,"Novo Horizonte do Oeste"
"33","11","RO","BR","1100155","OURO PRETO DO OESTE",175,"Ouro Preto do Oeste"
"34","11","RO","BR","1101450","PARECIS",701,"Parecis"
"35","11","RO","BR","1100189","PIMENTA BUENO",116,"Pimenta Bueno"
"36","11","RO","BR","1101468","PIMENTEIRAS DO OESTE",787,"Pimenteiras do Oeste"
"37","11","RO","BR","1100205","PORTO VELHO",35,"Porto Velho"
"38","11","RO","BR","1100254","PRESIDENTE MÉDICI",191,"Presidente Médici"
"39","11","RO","BR","1101476","PRIMAVERA DE RONDÔNIA",728,"Primavera de Rondônia"
"40","11","RO","BR","1100262","RIO CRESPO",647,"Rio Crespo"
"41","11","RO","BR","1100288","ROLIM DE MOURA",299,"Rolim de Moura"
"42","11","RO","BR","1100296","SANTA LUZIA D OESTE",353,"Santa Luzia D'Oeste"
"43","11","RO","BR","1101484","SÃO FELIPE D OESTE",710,"São Felipe D'Oeste"
"44","11","RO","BR","1101492","SÃO FRANCISCO DO GUAPORÉ",795,"São Francisco do Guaporé"
"45","11","RO","BR","1100320","SÃO MIGUEL DO GUAPORÉ",418,"São Miguel do Guaporé"
"46","11","RO","BR","1101500","SERINGUEIRAS",582,"Seringueiras"
"47","11","RO","BR","1101559","TEIXEIRÓPOLIS",752,"Teixeirópolis"
"48","11","RO","BR","1101609","THEOBROMA",590,"Theobroma"
"49","11","RO","BR","1101708","URUPÁ",566,"Urupá"
"50","11","RO","BR","1101757","VALE DO ANARI",698,"Vale do Anari"
"51","11","RO","BR","1101807","VALE DO PARAÍSO",558,"Vale do Paraíso"
"52","11","RO","BR","1100304","VILHENA",132,"Vilhena"
"53","12","AC","BR","1200013","ACRELÂNDIA",1120,"Acrelândia"
"54","12","AC","BR","1200054","ASSIS BRASIL",1570,"Assis Brasil"
"55","12","AC","BR","1200104","BRASILÉIA",1058,"Brasiléia"
"56","12","AC","BR","1200138","BUJARI",1007,"Bujari"
"57","12","AC","BR","1200179","CAPIXABA",1015,"Capixaba"
"58","12","AC","BR","1200203","CRUZEIRO DO SUL",1074,"Cruzeiro do Sul"
"59","12","AC","BR","1200252","EPITACIOLÂNDIA",1112,"Epitaciolândia"
"60","12","AC","BR","1200302","FEIJÓ",1139,"Feijó"
"61","12","AC","BR","1200328","JORDÃO",1104,"Jordão"
"62","12","AC","BR","1200336","MÂNCIO LIMA",1090,"Mâncio Lima"
"63","12","AC","BR","1200344","MANOEL URBANO",1554,"Manoel Urbano"
"64","12","AC","BR","1200351","MARECHAL THAUMATURGO",1040,"Marechal Thaumaturgo"
